lat,lng,addr,zip,title,timeStamp,district,,e
40.135788,-75.5076694,BRIDGE ST & TOWPATH,19453,Traffic: VEHICLE ACCIDENT -,12/11/2015 15:48,UPPER PROVIDENCE,,1
40.095859,-75.417219,N GULPH RD & 1ST AVE,19406,Traffic: VEHICLE ACCIDENT -,12/11/2015 19:22,UPPER MERION,,1
40.095171,-75.414699,1ST AVE & FREEDOM DR,19406,EMS: HEAD INJURY,12/11/2015 13:26,UPPER MERION,,1
40.1033767,-75.4124499,VALLEY FORGE CIR & OLD VALLEY FORGE RD,19406,EMS: UNCONSCIOUS SUBJECT,12/11/2015 10:34,UPPER MERION,,1
40.1033767,-75.4124499,VALLEY FORGE CIR & OLD VALLEY FORGE RD,19406,EMS: RESPIRATORY EMERGENCY,12/11/2015 22:48,UPPER MERION,,1
40.1330371,-75.4084631,SHANNONDELL DR & SHANNONDELL BLVD,19403,EMS: FALL VICTIM,12/11/2015 7:17,LOWER PROVIDENCE,,1
40.1330371,-75.4084631,SHANNONDELL DR & SHANNONDELL BLVD,19403,EMS: CARDIAC EMERGENCY,12/11/2015 8:44,LOWER PROVIDENCE,,1
40.1330371,-75.4084631,SHANNONDELL DR & SHANNONDELL BLVD,19403,EMS: FALL VICTIM,12/11/2015 17:31,LOWER PROVIDENCE,,1
40.1330371,-75.4084631,SHANNONDELL DR & SHANNONDELL BLVD,19403,Fire: FIRE ALARM,12/11/2015 20:37,LOWER PROVIDENCE,,1
40.1305332,-75.4049379,EGYPT RD & WEDGEWOOD WAY,19403,EMS: NAUSEA/VOMITING,12/11/2015 15:02,LOWER PROVIDENCE,,1
40.1305332,-75.4049379,EGYPT RD & WEDGEWOOD WAY,19403,Traffic: VEHICLE ACCIDENT -,12/11/2015 16:03,LOWER PROVIDENCE,,1
40.0903967,-75.3957327,MALL BLVD & GODDARD BLVD,19406,Traffic: VEHICLE ACCIDENT -,12/11/2015 17:11,UPPER MERION,,1
40.1098472,-75.3937796,BEIDLER RD & SARATOGA RD,19406,EMS: GENERAL WEAKNESS,12/11/2015 6:27,UPPER MERION,,1
40.0850736,-75.3886248,GULPH RD & W DEKALB PIKE,19406,Fire: ELECTRICAL FIRE OUTSIDE,12/11/2015 8:21,UPPER MERION,,1
40.130215,-75.3824469,BERKLEY RD & VARNUM RD,19403,Fire: FIRE ALARM,12/11/2015 15:26,WEST NORRITON,,1
40.0883549,-75.3821004,DEKALB PIKE & ALLENDALE RD,19406,Traffic: VEHICLE ACCIDENT -,12/11/2015 19:20,UPPER MERION,,1
40.1320369,-75.3773048,MAIN ST & LIBERTY AVE,19403,Fire: FIRE INVESTIGATION,12/11/2015 16:18,WEST NORRITON,,1
40.0972222,-75.3761952,SCHUYLKILL EXPY & RR OVERPASS,,Traffic: VEHICLE ACCIDENT -,12/11/2015 15:41,UPPER MERION,,1
40.0972222,-75.3761952,SCHUYLKILL EXPY & RT202 OVERPASS,,Traffic: DISABLED VEHICLE -,12/11/2015 17:24,UPPER MERION,,1
40.0972222,-75.3761952,SCHUYLKILL EXPY & N GULPH RD UNDERPASS,,Traffic: DISABLED VEHICLE -,12/11/2015 19:09,UPPER MERION,,1
40.0972222,-75.3761952,SCHUYLKILL EXPY & N GULPH RD UNDERPASS,,Traffic: DISABLED VEHICLE -,12/11/2015 19:09,UPPER MERION,,1
40.0972222,-75.3761952,HILLSIDE RD & DEAD END,,EMS: MEDICAL ALERT ALARM,12/11/2015 21:49,UPPER MERION,,1
40.0931406,-75.3677644,W DEKALB PIKE & TOWN CENTER RD,19406,Traffic: DISABLED VEHICLE -,12/11/2015 8:26,UPPER MERION,,1
40.0946197,-75.3628559,DEKALB PIKE & S HENDERSON RD,19406,EMS: VEHICLE ACCIDENT,12/11/2015 19:27,UPPER MERION,,1
40.0946197,-75.3628559,DEKALB PIKE & S HENDERSON RD,19406,Traffic: VEHICLE ACCIDENT -,12/11/2015 19:29,UPPER MERION,,1
40.1274502,-75.3618445,MARSHALL ST & N MONTGOMERY AVE,19403,Traffic: DISABLED VEHICLE -,12/11/2015 15:30,WEST NORRITON,,1
40.1274502,-75.3618445,MARSHALL ST & N MONTGOMERY AVE,19403,EMS: FALL VICTIM,12/11/2015 19:17,WEST NORRITON,,1
40.1224741,-75.3586461,W AIRY ST & HAMILTON ST,19401,Traffic: VEHICLE ACCIDENT -,12/11/2015 14:32,NORRISTOWN,,1
40.1210265,-75.3581642,MAIN ST & BUTTONWOOD ST,19401,EMS: SYNCOPAL EPISODE,12/11/2015 11:20,NORRISTOWN,,1
40.1320477,-75.3578112,GLEN LN & BEECH ST,19403,EMS: CARDIAC EMERGENCY,12/11/2015 19:23,WEST NORRITON,,1
40.1313819,-75.3547959,JAMES ST & FOREST AVE,19401,Traffic: VEHICLE ACCIDENT -,12/11/2015 7:42,WEST NORRITON,,1
40.1302626,-75.3528617,JAMES ST & SELMA ST,19401,Fire: BUILDING FIRE,12/11/2015 14:16,NORRISTOWN,,1
40.118372,-75.351878,MAIN ST & GEORGE ST,19401,EMS: ABDOMINAL PAINS,12/11/2015 14:38,NORRISTOWN,,1
40.1234522,-75.350889,OAK ST & BODEY ALY,19401,EMS: RESPIRATORY EMERGENCY,12/11/2015 10:18,NORRISTOWN,,1
40.129867,-75.349593,STERIGERE ST & BUTTONWOOD ST,19401,Traffic: VEHICLE ACCIDENT -,12/11/2015 23:46,NORRISTOWN,,1
40.0360047,-75.3491971,LANCASTER AVE & N SPRING MILL RD,19085,Fire: FIRE ALARM,12/11/2015 19:56,DELAWARE COUNTY,,1
40.1204766,-75.3486024,CHAIN ST & W BLACKBERRY ALY,19401,EMS: RESPIRATORY EMERGENCY,12/11/2015 15:53,NORRISTOWN,,1
40.1191612,-75.3423774,OAK ST & MAPLE ALY,19401,EMS: MATERNITY,12/11/2015 0:36,NORRISTOWN,,1
40.1198577,-75.3404954,JACOBY ST & CHURCH ST,19401,EMS: UNKNOWN MEDICAL EMERGENCY,12/11/2015 17:26,NORRISTOWN,,1
40.1148759,-75.3403903,GREEN ST & E AIRY ST,19401,EMS: CHOKING,12/11/2015 3:50,NORRISTOWN,,1
40.1050905,-75.3384238,4TH ST & HOLSTEIN ST,19405,EMS: CARDIAC EMERGENCY,12/11/2015 14:19,BRIDGEPORT,,1
40.1199455,-75.3383214,DEKALB ST & E ELM ST,19401,EMS: RESPIRATORY EMERGENCY,12/11/2015 12:50,NORRISTOWN,,1
40.1233907,-75.3369417,E WOOD ST & POWELL ST,19401,Traffic: VEHICLE ACCIDENT -,12/11/2015 13:01,NORRISTOWN,,1
40.1252484,-75.336178,FORNANCE ST & LOCUST ST,19401,EMS: SUBJECT IN PAIN,12/11/2015 13:30,NORRISTOWN,,1
40.1166841,-75.3356813,SMITH ST & E OAK ST,19401,EMS: ASSAULT VICTIM,12/11/2015 17:45,NORRISTOWN,,1
40.132899,-75.333714,LOGAN ST & MARKLEY ST,19401,EMS: CARDIAC EMERGENCY,12/11/2015 17:19,NORRISTOWN,,1
40.1156859,-75.3329667,VIOLET ST & E OAK ST,19401,Fire: GAS-ODOR/LEAK,12/11/2015 10:32,NORRISTOWN,,1
40.079443,-75.331833,RENAISSANCE BLVD & SWEDELAND RD,19406,Traffic: VEHICLE ACCIDENT -,12/11/2015 7:28,UPPER MERION,,1
40.1338404,-75.3316975,JOHNSON HWY & COLES BLVD,19401,Fire: ELECTRICAL FIRE OUTSIDE,12/11/2015 12:34,NORRISTOWN,,1
40.1125844,-75.3297589,AIRY ST & TREMONT AVE,19401,EMS: HEMORRHAGING,12/11/2015 2:00,NORRISTOWN,,1
40.131869,-75.328861,JOHNSON HWY & PINE ST,19401,Fire: ELECTRICAL FIRE OUTSIDE,12/11/2015 12:34,NORRISTOWN,,1
40.1290496,-75.3288609,POWELL ST & E LOGAN ST,19401,EMS: FALL VICTIM,12/11/2015 6:23,NORRISTOWN,,1
40.1142023,-75.3268041,NEW HOPE ST & CEDAR LN,19401,EMS: MEDICAL ALERT ALARM,12/11/2015 4:05,NORRISTOWN,,1
40.1142023,-75.3268041,NEW HOPE ST & CEDAR LN,19401,EMS: GENERAL WEAKNESS,12/11/2015 14:47,NORRISTOWN,,1
40.088204,-75.326639,RIVER RD & 3RD ST,19406,EMS: HEAD INJURY,12/11/2015 0:55,UPPER MERION,,1
40.1236821,-75.3254952,GLENN VALLEY DR & E ROBERTS ST,19401,EMS: FALL VICTIM,12/11/2015 8:06,NORRISTOWN,,1
40.02461,-75.3247469,LANCASTER AVE & WATER ST,19010,Traffic: DISABLED VEHICLE -,12/11/2015 16:30,LOWER MERION,,1
40.129538,-75.3246363,E JOHNSON HWY & DEKALB PIKE,19401,Traffic: VEHICLE ACCIDENT -,12/11/2015 8:13,NORRISTOWN,,1
40.082481,-75.324636,RIVER RD & SWEDELAND RD,19406,Fire: FIRE ALARM,12/11/2015 2:26,UPPER MERION,,1
40.0296652,-75.3242811,MONTGOMERY AVE & AIRDALE RD,19010,EMS: FRACTURE,12/11/2015 15:55,LOWER MERION,,1
40.1255016,-75.3217964,NORTH HILLS DR & NATALIE LN,19401,EMS: HEMORRHAGING,12/11/2015 8:54,NORRISTOWN,,1
40.1121357,-75.3209352,PENN RD & FAIRFIELD RD,19462,EMS: RESPIRATORY EMERGENCY,12/11/2015 14:46,PLYMOUTH,,1
40.125582,-75.3205245,NORTH HILLS DR & JANEWAY DR,19401,EMS: RESPIRATORY EMERGENCY,12/11/2015 3:02,NORRISTOWN,,1
40.0698321,-75.3162951,BLUEROUTE  & BALLIGOMINGO RD UNDERPASS,,Traffic: DISABLED VEHICLE -,12/11/2015 17:14,WEST CONSHOHOCKEN,,1
40.0279994,-75.3122906,NEW GULPH RD & CAVERSHAM RD,19010,EMS: SUBJECT IN PAIN,12/11/2015 8:29,LOWER MERION,,1
40.0794421,-75.3068746,WOOD ST & W 5TH AVE,19428,EMS: LACERATIONS,12/11/2015 3:47,CONSHOHOCKEN,,1
40.1082672,-75.3062326,RAMP I476 NB TO CHEMICAL RD & BLUEROUTE NB,,Traffic: VEHICLE ACCIDENT -,12/11/2015 22:52,PLYMOUTH,,1
40.0802937,-75.3060477,6TH AVE & WOOD ST,19428,EMS: LACERATIONS,12/11/2015 3:47,CONSHOHOCKEN,,1
40.0746954,-75.3054689,FAYETTE ST & W 2ND AVE,19428,Fire: FIRE ALARM,12/11/2015 21:53,CONSHOHOCKEN,,1
40.0805395,-75.2997124,FAYETTE ST & E 9TH AVE,19428,EMS: SYNCOPAL EPISODE,12/11/2015 12:09,CONSHOHOCKEN,,1
40.0121546,-75.2995188,DREYCOTT LN & W LANCASTER AVE,19041,EMS: NAUSEA/VOMITING,12/11/2015 1:29,LOWER MERION,,1
40.0813544,-75.2988945,FAYETTE ST & W 10TH AVE,19428,Traffic: ROAD OBSTRUCTION -,12/11/2015 14:19,CONSHOHOCKEN,,1
40.04571,-75.298728,GREEN VALLEY RD & MT PLEASANT RD,19010,Fire: FIRE ALARM,12/11/2015 3:27,LOWER MERION,,1
40.0117673,-75.2946732,MONTGOMERY AVE & WOODSIDE RD,19041,EMS: HEAD INJURY,12/11/2015 4:11,LOWER MERION,,1
40.1003438,-75.2939548,CHEMICAL RD & GALLAGHER RD,19462,Fire: FIRE ALARM,12/11/2015 14:06,PLYMOUTH,,1
40.0083463,-75.2938805,ARDMORE AVE & W ATHENS AVE,19003,EMS: DIABETIC EMERGENCY,12/11/2015 16:58,LOWER MERION,,1
40.0872847,-75.2930869,BUTLER PIKE & E NORTH LN,19428,Traffic: DISABLED VEHICLE -,12/11/2015 22:00,WHITEMARSH,,1
40.0833993,-75.2929707,E 14TH AVE & HALLOWELL ST,19428,Traffic: VEHICLE ACCIDENT -,12/11/2015 14:16,WHITEMARSH,,1
40.0916956,-75.2889349,KIRK ST & BUTLER PIKE,19428,EMS: FALL VICTIM,12/11/2015 11:42,PLYMOUTH,,1
40.075421,-75.28826,HECTOR ST & LEE ST,19428,Fire: FIRE ALARM,12/11/2015 15:08,WHITEMARSH,,1
40.0360186,-75.2877431,BLACK ROCK RD & ROCK CREEK RD,19035,Fire: FIRE INVESTIGATION,12/11/2015 10:38,LOWER MERION,,1
40.1147453,-75.2854469,GERMANTOWN PIKE & LAUNFALL RD,19462,EMS: SYNCOPAL EPISODE,12/11/2015 15:32,PLYMOUTH,,1
40.1147453,-75.2854469,W GERMANTOWN PIKE & LAUNFALL RD,19462,Traffic: VEHICLE ACCIDENT -,12/11/2015 22:52,PLYMOUTH,,1
40.1196045,-75.2849004,GERMANTOWN PIKE & ATRIUM WAY,19462,EMS: SUBJECT IN PAIN,12/11/2015 13:49,PLYMOUTH,,1
40.0091328,-75.2840693,LLANFAIR RD & E MONTGOMERY AVE,19003,Traffic: DISABLED VEHICLE -,12/11/2015 17:13,LOWER MERION,,1
40.0879229,-75.2832089,RED RAMBLER DR & WISTERIA LN,19444,EMS: MEDICAL ALERT ALARM,12/11/2015 9:33,WHITEMARSH,,1
40.0249667,-75.2829046,SCHUYLKILL EXPY & MILL CREEK RD UNDERPASS,,Traffic: DISABLED VEHICLE -,12/11/2015 7:09,LOWER MERION,,1
40.0249667,-75.2829046,MAPLEHILL RD & DEAD END,,Fire: FIRE ALARM,12/11/2015 11:31,LOWER MERION,,1
40.0933278,-75.2819813,RIDGE PIKE & MALAN DR,19428,Traffic: VEHICLE ACCIDENT -,12/11/2015 10:15,WHITEMARSH,,1
40.0222096,-75.2768064,OLD GULPH RD & MCCLENAGHAN MILL RD,19096,Fire: FIRE ALARM,12/11/2015 16:48,LOWER MERION,,1
40.1355778,-75.2738513,SENTRY PKWY & WALTON RD,19422,Fire: FIRE ALARM,12/11/2015 4:38,WHITPAIN,,1
40.0966894,-75.2674978,GERMANTOWN PIKE & FAIRWAY RD,19462,Traffic: VEHICLE ACCIDENT -,12/11/2015 16:09,WHITEMARSH,,1
40.0121627,-75.2624047,MONTGOMERY AVE & OLD GULPH RD,19072,Traffic: VEHICLE ACCIDENT -,12/11/2015 17:32,LOWER MERION,,1
40.0929049,-75.2617156,GERMANTOWN PIKE & JOSHUA RD,19444,Traffic: VEHICLE ACCIDENT -,12/11/2015 22:30,WHITEMARSH,,1
39.9975395,-75.2599846,BEDFORD PL & E WYNNEWOOD RD,19066,Traffic: VEHICLE ACCIDENT -,12/11/2015 13:28,LOWER MERION,,1
39.9955678,-75.2598013,HONEYSUCKLE LN & STRAWBERRY LN,19096,EMS: CARDIAC EMERGENCY,12/11/2015 10:22,LOWER MERION,,1
40.03813,-75.258681,HAGYS FORD RD & CHERMAR LN,19072,EMS: FALL VICTIM,12/11/2015 17:07,LOWER MERION,,1
40.1273963,-75.2585732,PEMBERTON RD & STENTON AVE,19462,EMS: SEIZURES,12/11/2015 17:37,WHITPAIN,,1
39.9866944,-75.2569627,CITY AVE & HOLLINGSWORTH RD,19151,EMS: SYNCOPAL EPISODE,12/11/2015 14:42,LOWER MERION,,1
39.9922519,-75.2544548,WYNNEWOOD RD & S LATCHS LN,19096,EMS: ABDOMINAL PAINS,12/11/2015 21:00,LOWER MERION,,1
40.1017766,-75.25378,FLOURTOWN RD,,Fire: VEHICLE ACCIDENT,12/11/2015 12:56,WHITEMARSH,,1
40.0059715,-75.2435911,RAMP MATSONSFORD RD TO I476  & MATSONS FORD RD,19004,Traffic: DISABLED VEHICLE -,12/11/2015 22:08,LOWER MERION,,1
40.0055473,-75.2367003,MONTGOMERY AVE & KENT RD,19004,Traffic: VEHICLE ACCIDENT -,12/11/2015 18:02,LOWER MERION,,1
40.1192546,-75.2362381,FLOURTOWN RD & RR OVERPASS,,Traffic: VEHICLE ACCIDENT -,12/11/2015 12:52,WHITEMARSH,,1
40.0134468,-75.2361093,E LEVERING MILL RD & CONSHOHOCKEN STATE RD,19004,Traffic: VEHICLE ACCIDENT -,12/11/2015 7:29,LOWER MERION,,1
40.0025642,-75.2236498,CITY AVE & N 47TH ST,19004,Traffic: VEHICLE ACCIDENT -,12/11/2015 2:34,LOWER MERION,,1
40.0056436,-75.2219357,BELMONT AVE & ST ASAPHS RD,19004,EMS: FALL VICTIM,12/11/2015 13:21,LOWER MERION,,1
40.0056436,-75.2219357,BELMONT AVE & ST ASAPHS RD,19004,Fire: CARBON MONOXIDE DETECTOR,12/11/2015 20:18,LOWER MERION,,1
40.1007482,-75.2151078,WISSAHICKON AVE & ROSE LN,19031,EMS: CVA/STROKE,12/11/2015 13:16,SPRINGFIELD,,1
40.1355514,-75.2150436,LAFAYETTE AVE & LAFAYETTE AVE CONNECTOR,19034,Fire: FIRE ALARM,12/11/2015 11:39,WHITEMARSH,,1
40.1025302,-75.2129155,BETHLEHEM PIKE & E WISSAHICKON AVE,19031,Fire: FIRE ALARM,12/11/2015 15:12,SPRINGFIELD,,1
40.1025302,-75.2129155,BETHLEHEM PIKE & E WISSAHICKON AVE,19031,Traffic: VEHICLE ACCIDENT -,12/11/2015 18:47,SPRINGFIELD,,1
40.0809133,-75.2026651,STENTON AVE & E EVERGREEN AVE,19038,EMS: CARDIAC EMERGENCY,12/11/2015 14:35,SPRINGFIELD,,1
40.0809133,-75.2026651,EVERGREEN AVE & STENTON AVE,19038,EMS: UNRESPONSIVE SUBJECT,12/11/2015 18:16,SPRINGFIELD,,1
40.0809133,-75.2026651,EVERGREEN AVE & STENTON AVE,19038,Fire: FIRE INVESTIGATION,12/11/2015 19:00,SPRINGFIELD,,1
40.125846,-75.195767,PENNSYLVANIA AVE & CAMP HILL RD,19034,Traffic: DISABLED VEHICLE -,12/11/2015 17:25,SPRINGFIELD,,1
40.1087245,-75.1927332,RAMP RT309 SB TO RT73 & CHURCH RD,,Traffic: DISABLED VEHICLE -,12/11/2015 14:55,SPRINGFIELD,,1
40.119449,-75.1926774,WALNUT AVE & ORELAND MILL RD,19075,EMS: SYNCOPAL EPISODE,12/11/2015 11:21,SPRINGFIELD,,1
40.0945329,-75.1815049,WILLOW GROVE AVE & NEWBOLD LN,19038,Fire: FIRE ALARM,12/11/2015 18:47,CHELTENHAM,,1
40.1141098,-75.1814483,GARTH RD & GOLF RD,19075,EMS: LACERATIONS,12/11/2015 13:02,SPRINGFIELD,,1
,-75.1693171,MT CARMEL AVE & NORTH HILLS AVE,19038,Traffic: VEHICLE ACCIDENT -,12/11/2015 17:44,ABINGTON,,1
40.1130531,-75.1687842,MT CARMEL AVE & STATION AVE,19038,Fire: FIRE ALARM,12/11/2015 15:05,ABINGTON,,1
40.1165291,-75.1687182,S LIMEKILN PIKE & CHELSEA AVE,19038,Traffic: VEHICLE ACCIDENT -,12/11/2015 22:20,UPPER DUBLIN,,1
40.1165291,-75.1687182,S LIMEKILN PIKE & CHELSEA AVE,19038,Traffic: VEHICLE ACCIDENT -,12/11/2015 22:29,UPPER DUBLIN,,1
40.1256093,-75.1654547,S LIMEKILN PIKE,,EMS: VEHICLE ACCIDENT,12/11/2015 22:28,UPPER DUBLIN,,1
40.0836572,-75.1647407,GREENWOOD AVE,19095,Fire: DEBRIS/FLUIDS ON HIGHWAY,12/11/2015 8:47,CHELTENHAM,,1
40.1185944,-75.1626529,PENN AVE & GARFIELD AVE,19038,EMS: DIZZINESS,12/11/2015 2:10,ABINGTON,,1
40.0823492,-75.1613157,LIMEKILN PIKE & GREENWOOD AVE,19095,Traffic: VEHICLE ACCIDENT -,12/11/2015 8:12,CHELTENHAM,,1
40.096173,-75.158023,EASTON RD & SPRINGHOUSE LN,19038,Traffic: VEHICLE ACCIDENT -,12/11/2015 11:35,CHELTENHAM,,1
40.0864554,-75.1573831,RICES MILL RD & PANTHER RD,19095,Traffic: DISABLED VEHICLE -,12/11/2015 14:32,CHELTENHAM,,1
40.072731,-75.1559688,CHELTENHAM AVE & 79TH AVE,19150,Traffic: VEHICLE ACCIDENT -,12/11/2015 11:02,CHELTENHAM,,1
40.0975985,-75.1536376,KESWICK AVE & E WAVERLY RD,19038,EMS: HEAD INJURY,12/11/2015 12:18,CHELTENHAM,,1
40.0978379,-75.1533665,KESWICK AVE & NEW ST,19038,EMS: HEAD INJURY,12/11/2015 12:18,CHELTENHAM,,1
40.1001509,-75.1517694,GLENSIDE AVE & NEW ST,19038,EMS: HEAD INJURY,12/11/2015 23:40,CHELTENHAM,,1
40.1061366,-75.1427146,JENKINTOWN RD & ABINGTON AVE,19038,EMS: BACK PAINS/INJURY,12/11/2015 16:47,ABINGTON,,1
40.0837614,-75.1422046,WASHINGTON LN & W CHURCH RD,19095,EMS: RESPIRATORY EMERGENCY,12/11/2015 0:01,CHELTENHAM,,1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
